dataset,strategy,fit_method,metric,accuracy,brier_score,time,num_rules,num_preds,trial_count
Annaburroo,greedy,FOLD-RM (fit),original,0.32786885245901637,0.6677594643295082,0.003945350646972656,27,0,300
Annaburroo,greedy,FOLD-RM (fit),original,0.3770491803278688,0.666861758647541,0.010343790054321289,21,0,300
Annaburroo,greedy,FOLD-RM (fit),original,0.22950819672131148,0.7677872620081967,0.010343790054321289,6,0,300
Annaburroo,greedy,FOLD-RM (fit),original,0.16393442622950818,0.7667455463934426,0.0047931671142578125,4,0,300
Annaburroo,greedy,FOLD-RM (fit),original,0.0,0.75,0.0020046234130859375,0,0,300
Annaburroo,greedy,FOLD-RM (fit),original,0.47540983606557374,0.6674932573163934,0.005391836166381836,18,0,300
Annaburroo,greedy,FOLD-RM (fit),original,0.5081967213114754,0.7089535776557376,0.007742166519165039,21,0,300
Annaburroo,greedy,FOLD-RM (fit),original,0.36065573770491804,0.6762006861229508,0.009746789932250977,24,0,300
Annaburroo,greedy,FOLD-RM (fit),original,0.4262295081967213,0.7218606026721311,0.007742166519165039,23,0,300
Annaburroo,greedy,FOLD-RM (fit),original,0.3442622950819672,0.713016862004918,0.007742166519165039,10,0,300
Annaburroo,greedy,FOLD-RM (fit),original,0.0,0.75,0.0011856555938720703,0,0,300
Annaburroo,greedy,FOLD-RM (fit),original,0.4426229508196721,0.6922786453262295,0.01243281364440918,21,0,300
Annaburroo,greedy,FOLD-RM (fit),original,0.26229508196721313,0.7592418121,0.004384756088256836,4,0,300
Annaburroo,greedy,FOLD-RM (fit),original,0.0,0.75,0.0,0,0,300
Annaburroo,greedy,FOLD-RM (fit),original,0.45901639344262296,0.6916139698934425,0.011655807495117188,20,0,300
Annaburroo,greedy,FOLD-RM (fit),original,0.39344262295081966,0.698701054285246,0.011655807495117188,21,0,300
Annaburroo,greedy,FOLD-RM (fit),original,0.3442622950819672,0.741770930995082,0.00965118408203125,11,0,300
Annaburroo,greedy,FOLD-RM (fit),original,0.4098360655737705,0.7001943655147542,0.004960536956787109,21,0,300
Annaburroo,greedy,FOLD-RM (fit),original,0.4262295081967213,0.7043811411278689,0.00965118408203125,22,0,300
Annaburroo,greedy,FOLD-RM (fit),original,0.4918032786885246,0.7360991385983606,0.00965118408203125,21,0,300
Annaburroo,greedy,FOLD-RM (fit),original,0.4098360655737705,0.7112923247409836,0.01552128791809082,25,0,300
Annaburroo,greedy,FOLD-RM (fit),original,0.4918032786885246,0.7240542511377048,0.00965118408203125,27,0,300
Annaburroo,greedy,FOLD-RM (fit),original,0.2459016393442623,0.7782460297131147,0.00452423095703125,8,0,300
Annaburroo,greedy,FOLD-RM (fit),original,0.0,0.75,0.0,0,0,300
Annaburroo,greedy,FOLD-RM (fit),original,0.01639344262295082,0.7494877049180328,0.0035076141357421875,1,0,300
Annaburroo,greedy,FOLD-RM (fit),original,0.0,0.75,0.0,0,0,300
Annaburroo,greedy,FOLD-RM (fit),original,0.5081967213114754,0.721546625714754,0.011482715606689453,21,0,300
Annaburroo,greedy,FOLD-RM (fit),original,0.0,0.75,0.0,0,0,300
Annaburroo,greedy,FOLD-RM (fit),original,0.2459016393442623,0.7520823906770492,0.005970001220703125,6,0,300
Annaburroo,greedy,FOLD-RM (fit),original,0.3114754098360656,0.7815244084836066,0.008044242858886719,7,0,300
Annaburroo,greedy,FOLD-RM (fit),original,0.22950819672131148,0.6735964424393441,0.00887918472290039,8,0,300
Annaburroo,greedy,FOLD-RM (fit),original,0.08196721311475409,0.7465259989754098,0.00402069091796875,2,0,300
Annaburroo,greedy,FOLD-RM (fit),original,0.47540983606557374,0.7235475930163934,0.013912677764892578,22,0,300
Annaburroo,greedy,FOLD-RM (fit),original,0.0,0.75,0.0020058155059814453,0,0,300
Annaburroo,greedy,FOLD-RM (fit),original,0.4426229508196721,0.7031694845606558,0.007685661315917969,20,0,300
Annaburroo,greedy,FOLD-RM (fit),original,0.29508196721311475,0.6401173113688526,0.008890628814697266,17,0,300
Annaburroo,greedy,FOLD-RM (fit),original,0.16393442622950818,0.7778500372540984,0.0,2,0,300
Annaburroo,greedy,FOLD-RM (fit),original,0.39344262295081966,0.6865186693393444,0.008890628814697266,21,0,300
Annaburroo,greedy,FOLD-RM (fit),original,0.47540983606557374,0.7171501101540985,0.009378910064697266,22,0,300
Annaburroo,greedy,FOLD-RM (fit),original,0.4262295081967213,0.7006357570704919,0.010391473770141602,25,0,300
Annaburroo,greedy,FOLD-RM (fit),original,0.45901639344262296,0.6992387693213113,0.011655807495117188,19,0,300
Annaburroo,greedy,FOLD-RM (fit),original,0.36065573770491804,0.6934914271606556,0.011507987976074219,26,0,300
Annaburroo,greedy,FOLD-RM (fit),original,0.47540983606557374,0.7378628521950819,0.013425827026367188,23,0,300
Annaburroo,greedy,FOLD-RM (fit),original,0.4426229508196721,0.7088751947655738,0.010265350341796875,24,0,300
Annaburroo,greedy,FOLD-RM (fit),original,0.36065573770491804,0.6721926641590165,0.010265350341796875,18,0,300
Annaburroo,greedy,FOLD-RM (fit),original,0.4262295081967213,0.6995276673836066,0.007681131362915039,24,0,300
Annaburroo,greedy,FOLD-RM (fit),original,0.2786885245901639,0.7889476471803278,0.004010915756225586,4,0,300
