,accuracy_mean,accuracy_mean,accuracy_mean,accuracy_mean,accuracy_std,accuracy_std,accuracy_std,accuracy_std,brier_score_mean,brier_score_mean,brier_score_mean,brier_score_mean,brier_score_std,brier_score_std,brier_score_std,brier_score_std,time_mean,time_mean,time_mean,time_mean,num_rules_mean,num_rules_mean,num_rules_mean,num_rules_mean,num_preds_mean,num_preds_mean,num_preds_mean,num_preds_mean,time_std,time_std,time_std,time_std,num_rules_std,num_rules_std,num_rules_std,num_rules_std,num_preds_std,num_preds_std,num_preds_std,num_preds_std
,greedy,round_robin,best_rule,info_gain,greedy,round_robin,best_rule,info_gain,greedy,round_robin,best_rule,info_gain,greedy,round_robin,best_rule,info_gain,greedy,round_robin,best_rule,info_gain,greedy,round_robin,best_rule,info_gain,greedy,round_robin,best_rule,info_gain,best_rule,greedy,info_gain,round_robin,best_rule,greedy,info_gain,round_robin,best_rule,greedy,info_gain,round_robin
Dry Bean,0.3297955686130493,0.19441792141020933,0.23718937446443875,0.351475088750153,0.07265508499639463,0.1309231263843171,0.010777304799936585,0.0824631081266482,0.8152748270532134,0.7915893069456789,0.7963934679606941,0.819433103753894,0.012874319611583218,0.02642025868169457,0.0030533814270571375,0.013768894311429254,13163.325966246923,4591.581514755885,116365.71045707067,14204.050375111898,295.3333333333333,122.63333333333334,304.8,327.06666666666666,375.1666666666667,140.2,306.73333333333335,421.06666666666666,,,,,,,,,,,,
Ecoli,0.4323529411764706,0.10147058823529412,0.5573529411764705,0.44019607843137254,0.10038108986498304,0.20941442838518334,0.07135214603350544,0.0821002110628496,0.7869280394354412,0.7590138310232353,0.7854843534947059,0.789365666772696,0.020250574916969407,0.022592130992867315,0.013174731947029032,0.017014789022278813,7.375598017374674,1.3161835511525473,80.97060764630636,8.11272935072581,45.666666666666664,14.1,79.2,45.5,63.46666666666667,21.4,107.8,64.16666666666667,,,,,,,,,,,,
Nursery,0.13635545267489713,0.18278034979423868,0.27214506172839503,0.111059670781893,0.09024244733009322,0.13171067411704207,0.02703876583364297,0.08894732746825414,0.7503634297709689,0.7557412366529743,0.7436809345094436,0.7531257634136479,0.010447645916048715,0.007298652195089557,0.011434174594464329,0.0051936052835547366,88.37098879814148,21.2615296681722,223.1039311250051,70.95154625574747,523.8,191.13333333333333,1006.7666666666667,391.43333333333334,41.2,29.133333333333333,48.5,40.86666666666667,,,,,,,,,,,,
Page Blocks,0.9049315068493151,0.9042009132420091,0.9050228310502283,0.9020091324200913,0.01476137889026782,0.010065253365965308,0.014519072343668999,0.01386483956452506,0.9148049009331601,0.9172593580615891,0.9146911570741795,0.9123731229048402,0.011759886901532991,0.010154537418342692,0.011734890925578938,0.011689187105396636,39.853317920366926,60.306633766492205,69.51784702142079,41.25500756104787,8.066666666666666,10.4,9.166666666666666,6.7,9.6,11.533333333333333,11.733333333333333,7.9,,,,,,,,,,,,
Wall Robot,0.4596459096459097,0.1896825396825397,0.8061965811965811,0.4317155067155067,0.08912340624625675,0.16030408236126842,0.016982066860408235,0.08325875712197606,0.8329030645032144,0.7804739935313827,0.8626231524989559,0.8301928303068254,0.013444045055727131,0.0271221976179162,0.008373916528874351,0.01215333273711084,1045.559451699257,667.0165906985601,16637.483424218495,956.9513146479925,190.43333333333334,107.63333333333334,852.0333333333333,169.5,228.83333333333334,128.8,914.2333333333333,204.2,,,,,,,,,,,,
Weight Lifting,0.8204968944099379,0.06554865424430642,0.8162732919254658,0.8243892339544513,0.017267712483686134,0.0616134933523101,0.015074907403056392,0.014883551940956226,0.8564341601049235,0.759113916388998,0.8539470354139503,0.8584595678288323,0.007194973608882701,0.011005994370492574,0.007214421053619358,0.0060042877855749355,12617.031335886319,1497.7946411212286,43494.61802060604,15179.849837144217,757.4,75.56666666666666,781.8333333333334,766.2666666666667,718.2666666666667,89.2,736.6333333333333,724.1333333333333,,,,,,,,,,,,
Wine,0.6592592592592593,0.6527777777777778,0.6277777777777778,0.6675925925925926,0.07955459947911848,0.09306234606664415,0.08304547985373995,0.07128157450302228,0.7785426124512037,0.7790255868318519,0.7714609945373148,0.7813558735743519,0.017087518906046435,0.018942205529050078,0.016756062954274762,0.01753474662025594,20.51941781838735,21.37322785059611,67.3502141157786,21.782064112027488,58.8,56.266666666666666,57.833333333333336,57.8,60.9,56.8,60.233333333333334,59.766666666666666,,,,,,,,,,,,
Average (All Datasets),0.5346910760898341,0.3272683920551964,0.6031368370456225,0.5326339005208658,0.06628367418440001,0.11387048629039008,0.034112820446851225,0.06239990996974736,0.8193215763217322,0.7917453184908158,0.8183258707841777,0.8206151326507268,0.013294137845255799,0.017647996686493285,0.010248797061556843,0.011908406123657308,3854.576582340967,980.0929030588695,25276.964928829104,4354.707553454808,268.5,82.53333333333333,441.66190476190474,252.03809523809522,213.91904761904763,68.15238095238095,312.2666666666667,217.44285714285712,1653.9063050717389,477.4670915233893,481.95101800603277,432.60407280201537,87.86333618837536,100.51905657631256,90.05957680422512,60.32739379250891,19.571539520993504,49.60106582986631,55.90474294767354,48.54238173822247
