Dataset,Metric,Fit Method,Avg Accuracy,Std Accuracy,Avg Brier Score,Std Brier Score,Avg Time,Num Rules Avg,Num Rules Std,Num Preds Avg,Num Preds Std
Dry Bean,WHM_beta_0.5,CON-FOLD (confidence_fit),0.8894577059615619,0.006821316382633146,0.9130308287435889,0.0049358868355525234,1122.847974661986,349.82,21.749276695773084,531.42,35.5639270848847
Dry Bean,WHM_beta_0.5,FOLD-RM (fit),0.910435793854817,0.006626539439391205,0.9212755815847735,0.005588827904319781,309.760440111955,157.83666666666667,20.72861727506224,291.38,39.409040946985805
Dry Bean,WHM_beta_1.0,CON-FOLD (confidence_fit),0.874241645244216,0.007888992830236046,0.9090277126506328,0.004983642091885781,2085.7759902668,508.38,36.40540406060691,716.1833333333333,58.56874064000417
Dry Bean,WHM_beta_1.0,FOLD-RM (fit),0.9099767413392091,0.006299920493432441,0.9209995276787551,0.005227575621644762,307.5798813231786,158.66666666666666,18.325436629115135,292.72,35.60985546193732
Dry Bean,WHM_beta_1.5,CON-FOLD (confidence_fit),0.8612131227812463,0.008058666788691667,0.9041945209142339,0.00468889577447615,4004.494709332784,668.99,52.935215343015045,982.0133333333333,89.67850319524752
Dry Bean,WHM_beta_1.5,FOLD-RM (fit),0.9098592238952137,0.006030676437789565,0.9208836872906969,0.004762009222340359,315.147210307916,160.0,17.76641452150188,295.71,35.53479476226064
Dry Bean,WHM_beta_2.0,CON-FOLD (confidence_fit),0.8466887011874158,0.008064255048234681,0.899666463284121,0.004335924417535137,8511.892379027207,922.18,74.1306872758281,1428.56,119.62027322275388
Dry Bean,WHM_beta_2.0,FOLD-RM (fit),0.9102485004284491,0.006200362074328636,0.9212834909094422,0.0047660773121719876,311.3630529133479,161.17666666666668,19.159569041126538,297.1066666666667,37.84348097621146
Ecoli,WHM_beta_0.5,CON-FOLD (confidence_fit),0.7834803921568627,0.046752555863288095,0.8520301083142205,0.026398601269923317,1.562909917831421,47.123333333333335,3.504625069602144,53.373333333333335,4.638138634069892
Ecoli,WHM_beta_0.5,FOLD-RM (fit),0.7941176470588235,0.046019408188633364,0.8581738208068187,0.03162829272841503,1.266299455165863,38.94,4.991269970631967,47.236666666666665,7.361246410625633
Ecoli,WHM_beta_1.0,CON-FOLD (confidence_fit),0.7431372549019608,0.052140164782905216,0.8434347031810343,0.02529467967810838,2.280195937951406,70.96,8.320808424835258,68.37,8.36738572152073
Ecoli,WHM_beta_1.0,FOLD-RM (fit),0.7898039215686274,0.04670728259720401,0.8548983622457696,0.03185134472174535,1.2277475881576538,39.22666666666667,4.787311359807441,47.57,7.114338529268206
Ecoli,WHM_beta_1.5,CON-FOLD (confidence_fit),0.6250980392156863,0.072369299189904,0.8214162262747696,0.02207179711701097,5.326141899426778,127.23333333333333,12.314668452128199,121.84333333333333,12.505201147576955
Ecoli,WHM_beta_1.5,FOLD-RM (fit),0.788235294117647,0.04916530253560672,0.8530863769502353,0.03330516809070876,1.2739343333244324,38.666666666666664,5.062375698681823,46.84,7.1445467662395
Ecoli,WHM_beta_2.0,CON-FOLD (confidence_fit),0.5768627450980393,0.075007698598961,0.8086114726616569,0.020741380513198467,6.321651590665182,148.62,9.740560991446724,145.54666666666665,9.730884987039571
Ecoli,WHM_beta_2.0,FOLD-RM (fit),0.791813725490196,0.04656343268774626,0.8567131891857108,0.033046380231676845,1.2734873668352762,38.693333333333335,5.377329678423768,47.02333333333333,7.610245836668964
Nursery,WHM_beta_0.5,CON-FOLD (confidence_fit),0.9351376028806584,0.010030825405465887,0.9433407436209421,0.007495590354579538,13.120655813217162,64.14666666666666,6.902945584897008,26.243333333333332,2.655993831506182
Nursery,WHM_beta_0.5,FOLD-RM (fit),0.9586394032921811,0.011733515849073225,0.9633788991229748,0.009422095259551618,2.981365761756897,67.29,8.44572876951187,26.576666666666668,2.9187644948064406
Nursery,WHM_beta_1.0,CON-FOLD (confidence_fit),0.9259619341563785,0.008623959788557074,0.9359765291095343,0.006263123026784828,18.623381520112357,66.05666666666667,8.115396133496345,29.303333333333335,2.6154906857630493
Nursery,WHM_beta_1.0,FOLD-RM (fit),0.9597710905349794,0.010795130005706302,0.9642623213624315,0.008786704905869155,2.8818036270141603,67.28666666666666,8.73491947777231,26.42,3.0672942986256264
Nursery,WHM_beta_1.5,CON-FOLD (confidence_fit),0.92570987654321,0.0085751763565027,0.9358352341632888,0.006282848938767296,21.468702672322593,66.43666666666667,8.118230993908533,29.72,2.6967588622648493
Nursery,WHM_beta_1.5,FOLD-RM (fit),0.9600025720164609,0.011941694057537635,0.9645052575336515,0.009587946798970678,3.1826554028193157,67.74666666666667,8.999581310711958,26.48,2.944798713814399
Nursery,WHM_beta_2.0,CON-FOLD (confidence_fit),0.9245280349794238,0.009192200901872,0.9349036341544205,0.006612071811930275,22.115938585599263,65.79666666666667,8.272248133740678,29.426666666666666,2.661120207371794
Nursery,WHM_beta_2.0,FOLD-RM (fit),0.9604436728395062,0.012226368437693952,0.9648999920686119,0.009884871617384968,2.8751101891199746,68.73,8.556936985192884,26.95,3.0306406267810195
Page Blocks,WHM_beta_0.5,CON-FOLD (confidence_fit),0.9599817351598174,0.0055568617170144935,0.9640607029241247,0.004600508161870211,24.251945256392162,47.21,6.283111620749388,72.59666666666666,17.275671283141673
Page Blocks,WHM_beta_0.5,FOLD-RM (fit),0.9658660578386606,0.005024964919521339,0.9695607777174473,0.004524980754637522,12.43666758219401,61.03,12.177990179666493,109.39,25.753226248518025
Page Blocks,WHM_beta_1.0,CON-FOLD (confidence_fit),0.9577777777777777,0.006017955406480853,0.9626373818509918,0.004776210162296389,31.106827483971912,53.21333333333333,9.175426441871219,70.57333333333334,15.690078098105108
Page Blocks,WHM_beta_1.0,FOLD-RM (fit),0.9659147640791476,0.00522770354855286,0.9696567961825222,0.004563719689444986,12.391928699016571,60.836666666666666,11.631032856396606,109.18333333333334,24.63410615744242
Page Blocks,WHM_beta_1.5,CON-FOLD (confidence_fit),0.9569132420091324,0.0060977543200163966,0.9619880817461552,0.004754656499934353,29.379196542898814,60.303333333333335,11.025570259812827,81.51666666666667,19.997066395774457
Page Blocks,WHM_beta_1.5,FOLD-RM (fit),0.9657442922374428,0.0054888538431343125,0.9694249415138672,0.00481879250781032,13.526695370674133,61.24666666666667,12.540202463076048,109.43333333333334,25.996119254159396
Page Blocks,WHM_beta_2.0,CON-FOLD (confidence_fit),0.9560000000000001,0.005860771626607833,0.9614274697193135,0.0046598264553321415,30.513920231660208,63.723333333333336,12.4873228915923,86.71666666666667,21.519293409676074
Page Blocks,WHM_beta_2.0,FOLD-RM (fit),0.9655890410958904,0.005600113122303911,0.969390049523885,0.004752997339107454,13.015056885083517,60.63333333333333,12.546324418340875,108.77333333333333,26.2711985858916
