Dataset,Metric,Fit Method,Avg Accuracy,Std Accuracy,Avg Brier Score,Std Brier Score,Avg Time,Num Rules Avg,Num Rules Std,Num Preds Avg,Num Preds Std
Dry Bean,Gini_Impurity,CON-FOLD (confidence_fit),0.003782592728608153,0.0037252896519767193,0.750167932239765,0.00016652205197495556,2404.03190870285,59.8,68.45079335633088,172.7,191.10325888261445
Dry Bean,Gini_Impurity,FOLD-RM (fit),0.910907087770841,0.0060892815843955166,0.9219406388471579,0.005796454298514359,95.10200481414795,157.3,9.23820569398866,293.5,16.174396777348793
Dry Bean,Precision_Gini_Impurity,CON-FOLD (confidence_fit),0.31358795446199045,0.06916563479266183,0.8127390907883033,0.011705869885444361,1419.4591241121293,276.4,111.56781694457314,346.9,165.71960924673004
Dry Bean,Precision_Gini_Impurity,FOLD-RM (fit),0.907785530664708,0.00423860146637248,0.9189098218790297,0.0037231981580000944,100.30149607658386,165.4,17.180091837809123,304.7,28.34333156925004
Dry Bean,Precision_Information_Gain,CON-FOLD (confidence_fit),0.0,0.0,0.75,0.0,4.269308590888977,0.0,0.0,0.0,0.0
Dry Bean,Precision_Information_Gain,FOLD-RM (fit),0.9081527726771943,0.005478488283859807,0.9193886930511532,0.005051048366915598,94.74183027744293,161.7,19.02074890452238,299.0,39.25698805449944
Dry Bean,TP_Gini_Impurity,FOLD-RM (fit),0.9119720896070511,0.005692053748169996,0.9227721831497725,0.004349700462464021,97.73736910820007,173.7,20.100027639560878,322.8,42.52267369037109
Dry Bean,TP_Information_Gain,CON-FOLD (confidence_fit),0.0,0.0,0.75,0.0,1.2987362146377563,0.0,0.0,0.0,0.0
Dry Bean,TP_Information_Gain,FOLD-RM (fit),0.9096217407271391,0.004851827746438688,0.9204539956916011,0.004641936795297186,87.04625537395478,158.7,21.54607466183419,292.9,45.012220562864925
Dry Bean,information_gain,CON-FOLD (confidence_fit),0.110613294160852,0.00946126426624904,0.7769172506823941,0.002442611734883819,2.4832668781280516,1.0,0.0,1.0,0.0
Dry Bean,information_gain,FOLD-RM (fit),0.9056555269922878,0.010504020362734953,0.9193554037718658,0.0068580592034639684,91.97602756023407,149.2,26.92706197613595,276.7,49.627613281317494
Dry Bean,original,CON-FOLD (confidence_fit),0.8942343004039662,0.014381431448354893,0.9156612678834557,0.00613697800177393,107.53102190494538,53.9,21.804433799879636,90.2,38.54521154869089
Dry Bean,original,FOLD-RM (fit),0.9088138082996695,0.006125717126180722,0.9194326549601322,0.006283163671164137,96.9093834400177,164.0,18.190351532856333,305.4,40.58242641012653
Ecoli,Gini_Impurity,CON-FOLD (confidence_fit),0.0,0.0,0.75,0.0,0.024481678009033205,1.0,1.8856180831641267,2.4,4.575295983139597
Ecoli,Gini_Impurity,FOLD-RM (fit),0.763235294117647,0.04068922739107282,0.8455331955636766,0.030652023304359538,0.37310194969177246,39.1,4.121757985239902,49.1,6.773313648265359
Ecoli,Precision_Gini_Impurity,CON-FOLD (confidence_fit),0.44411764705882356,0.05580489988532434,0.7903265870157352,0.02023682749157274,0.8673850536346436,41.6,12.294533563968809,56.7,18.312412305440382
Ecoli,Precision_Gini_Impurity,FOLD-RM (fit),0.7808823529411765,0.06294774261761572,0.8497876408125,0.04553400335824775,0.3613523244857788,38.0,4.8074017006186525,44.5,7.291547618075786
