,,Average,Average,Average,Average,Average,Average,Average,Average,Average,Dry Bean,Dry Bean,Dry Bean,Dry Bean,Dry Bean,Dry Bean,Dry Bean,Dry Bean,Dry Bean,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Nursery,Nursery,Nursery,Nursery,Nursery,Nursery,Nursery,Nursery,Nursery,Page Blocks,Page Blocks,Page Blocks,Page Blocks,Page Blocks,Page Blocks,Page Blocks,Page Blocks,Page Blocks,Wall Robot,Wall Robot,Wall Robot,Wall Robot,Wall Robot,Wall Robot,Wall Robot,Wall Robot,Wall Robot,Weight Lifting,Weight Lifting,Weight Lifting,Weight Lifting,Weight Lifting,Weight Lifting,Weight Lifting,Weight Lifting,Weight Lifting,Wine,Wine,Wine,Wine,Wine,Wine,Wine,Wine,Wine
,,Avg Accuracy,Std Accuracy,Avg Brier Score,Std Brier Score,Avg Time,Num Rules Avg,Num Rules Std,Num Preds Avg,Num Preds Std,Avg Accuracy,Avg Brier Score,Avg Time,Num Preds Avg,Num Preds Std,Num Rules Avg,Num Rules Std,Std Accuracy,Std Brier Score,Avg Accuracy,Avg Brier Score,Avg Time,Num Preds Avg,Num Preds Std,Num Rules Avg,Num Rules Std,Std Accuracy,Std Brier Score,Avg Accuracy,Avg Brier Score,Avg Time,Num Preds Avg,Num Preds Std,Num Rules Avg,Num Rules Std,Std Accuracy,Std Brier Score,Avg Accuracy,Avg Brier Score,Avg Time,Num Preds Avg,Num Preds Std,Num Rules Avg,Num Rules Std,Std Accuracy,Std Brier Score,Avg Accuracy,Avg Brier Score,Avg Time,Num Preds Avg,Num Preds Std,Num Rules Avg,Num Rules Std,Std Accuracy,Std Brier Score,Avg Accuracy,Avg Brier Score,Avg Time,Num Preds Avg,Num Preds Std,Num Rules Avg,Num Rules Std,Std Accuracy,Std Brier Score,Avg Accuracy,Avg Brier Score,Avg Time,Num Preds Avg,Num Preds Std,Num Rules Avg,Num Rules Std,Std Accuracy,Std Brier Score
Metric,Fit Method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gini_Impurity,CON-FOLD (confidence_fit),0.13172387098877014,0.007576247141546971,0.7726416874009203,0.00122391118149155,345.27558535848345,11.628571428571428,11.877279790220706,33.05714285714286,32.93543235010495,0.0037825927286081,0.750167932239765,2404.03190870285,172.7,191.10325888261443,59.8,68.45079335633088,0.0037252896519767,0.0001665220519749,0.0,0.75,0.0244816780090332,2.4,4.575295983139597,1.0,1.8856180831641267,0.0,0.0,0.0,0.7499918981481482,0.3040631771087646,6.8,5.593647190240809,1.2,1.1352924243950933,0.0,1.7080203411408434e-05,0.8950684931506849,0.9074170897212516,1.1988872766494751,23.4,7.961016127215029,10.5,4.249182927993988,0.0084520809709047,0.0063990765106757,0.0,0.75,3.3101836442947388,1.3,2.9832867780352594,0.4,0.966091783079296,0.0,0.0,0.0009937888198757,0.7500472049689442,7.035870933532715,4.3,6.23698645180507,1.8,2.740640638812596,0.0020115872134974,9.555039264114066e-05,0.0222222222222222,0.7508676867283334,1.0237020969390869,20.5,12.094535037684487,6.7,3.7133393177689658,0.03884477215445,0.0018891491117377
Precision_Gini_Impurity,CON-FOLD (confidence_fit),0.5396427304143518,0.05208659721954679,0.8221698865696381,0.011301303352041428,424.14586491925377,269.62857142857143,83.42545453469445,200.57142857142858,39.358529772461836,0.3135879544619904,0.8127390907883033,1419.4591241121293,346.9,165.71960924673004,276.4,111.56781694457314,0.0691656347926618,0.0117058698854443,0.4441176470588235,0.7903265870157352,0.8673850536346436,56.7,18.312412305440382,41.6,12.294533563968807,0.0558048998853243,0.0202368274915727,0.165162037037037,0.7539015177018127,58.94458572864532,43.6,6.703233050799689,603.3,380.6570489152787,0.1208682801658579,0.0045351443478766,0.906027397260274,0.9161682896912332,11.749623823165894,9.3,7.180993431738165,8.4,6.569288816573339,0.0137455647841372,0.0112225341890167,0.4034798534798535,0.8284164193509431,105.00561776161194,161.4,47.26332851399933,136.2,36.03640134949968,0.0448171487873408,0.0087306655593423,0.8201242236024845,0.8563683543472174,1370.8433005332947,725.1,24.95529335965951,762.7,34.41269145727102,0.0158954442918559,0.0079191760146578,0.725,0.7972689470922222,2.1514174222946165,61.0,5.374838498865699,58.8,2.4404006956964177,0.0443092078296496,0.0147589059763796
Precision_Information_Gain,CON-FOLD (confidence_fit),0.03331679894179894,0.023003600489809987,0.7583291434216657,0.0057508612238077435,1.1968267849513463,0.09999999999999999,0.06900655593423541,0.09999999999999999,0.06900655593423541,0.0,0.75,4.269308590888977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0253442049026489,0.0,0.0,0.0,0.0,0.0,0.0,0.2332175925925926,0.8083040039516604,0.1426600933074951,0.7,0.4830458915396479,0.7,0.4830458915396479,0.1610252034286699,0.0402560285666542,0.0,0.75,0.1357535362243652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.3093242406845092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,3.4591553449630736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0362414836883544,0.0,0.0,0.0,0.0,0.0,0.0
TP_Gini_Impurity,CON-FOLD (confidence_fit),0.18043424765789318,0.019336469316543415,0.7777742419854667,0.002525989333270626,254.18282373746237,34.05,11.913874392807143,48.21666666666667,24.85289184578565,,,,,,,,,,0.0602941176470588,0.7513754290985294,1.8853366136550904,37.3,31.742190640638945,9.5,9.300537618869138,0.0530001487089235,0.0035433894391326,0.0767746913580247,0.7493186070723183,136.10605425834655,40.5,2.6770630673681683,173.6,49.97154746008528,0.019231736053426,0.0015261595092053,0.901461187214612,0.912408407828256,26.21361548900604,6.4,2.988868236194653,3.3,1.2516655570345725,0.0088169773128712,0.0074001321016951,0.0001831501831501,0.7500162710785256,345.57131838798523,19.7,14.220876672460571,1.4,1.1737877907772671,0.000386114488421,3.866703835045555e-05,0.0105590062111801,0.7519854389957267,1003.200922870636,131.0,72.5074708794434,7.5,5.622375931144333,0.0090578231280444,0.0014689489530396,0.0333333333333333,0.7515412978394445,12.119694805145263,54.4,24.980881578608155,9.0,4.163331998932265,0.0255260162075744,0.0011786389582007
TP_Information_Gain,CON-FOLD (confidence_fit),0.038188932980599645,0.020158843185747927,0.7595471688085048,0.0050396767315104,0.7412380559103828,0.1142857142857143,0.06023386019368342,0.1142857142857143,0.06023386019368342,0.0,0.75,1.2987362146377563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0168402194976806,0.0,0.0,0.0,0.0,0.0,0.0,0.2673225308641975,0.8168301816595338,0.1583066701889038,0.8,0.4216370213557839,0.8,0.4216370213557839,0.1411119023002355,0.0352777371205728,0.0,0.75,0.1321774959564209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.333906364440918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,3.240913295745849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0077861309051513,0.0,0.0,0.0,0.0,0.0,0.0
information_gain,CON-FOLD (confidence_fit),0.6230212851415085,0.028726403579510458,0.8667394496395887,0.0137872125592101,1.7186223302568708,26.628571428571426,6.318723888210757,26.585714285714285,6.293706418002342,0.110613294160852,0.7769172506823941,2.483266878128052,1.0,0.0,1.0,0.0,0.009461264266249,0.0024426117348838,0.5455882352941177,0.7977655301477942,0.7397608280181884,153.5,37.5299880095904,153.7,37.42266098977405,0.0996075536509611,0.0265898905658668,0.8765817901234568,0.9015313095689578,0.3783975839614868,10.0,2.309401076758503,10.0,2.494438257849294,0.0122170105044691,0.0074058969142059,0.9047488584474884,0.9140411480417536,3.0145624399185182,2.0,0.0,2.0,0.0,0.0077735917033959,0.0062559436097998,0.0015567765567765,0.7501187096012638,0.8334109783172607,3.7,0.674948557710553,3.7,0.674948557710553,0.000970100646036,0.0001072874914084,0.9637267080745342,0.9693185703210684,4.522325038909912,8.8,2.973961069759395,8.9,3.071373199943852,0.0357970954620181,0.0296177937382471,0.9583333333333334,0.9574836291138888,0.0586325645446777,7.1,0.5676462121975466,7.1,0.5676462121975466,0.035258208823444,0.0240910638600589
original,CON-FOLD (confidence_fit),0.9245359496498897,0.02086461395711849,0.9418301351053863,0.014185042447685857,20.716402731622967,26.099999999999998,5.955131354307824,32.42857142857143,8.589049189582477,0.8942343004039662,0.9156612678834556,107.53102190494538,90.2,38.54521154869089,53.9,21.80443379987964,0.0143814314483548,0.0061369780017739,0.7911764705882354,0.8562351067389706,0.3147077560424804,43.2,5.652924513520021,33.6,2.6331223544175333,0.046915631819629,0.0343965694858358,0.935570987654321,0.9447078550263536,1.786424422264099,20.0,3.771236166328253,35.7,7.746683878351503,0.0123791235093713,0.0093087301600266,0.9557990867579907,0.9593509013021826,2.03520348072052,30.8,7.052186422190876,21.6,4.742245131674332,0.0082157950081311,0.0072282307933816,0.9739010989010988,0.9753233903385532,19.58345217704773,22.2,3.0840089349921005,18.4,2.547329756605707,0.0094109218617021,0.008531503195269,0.9932919254658386,0.9932641997065218,13.612487506866454,13.6,1.07496769977314,12.5,1.2692955176439848,0.0054052733323662,0.00523175328518,0.9277777777777776,0.9482682247416668,0.1515218734741211,7.0,0.9428090415820634,7.0,0.9428090415820634,0.0493441207202749,0.0284615322123341
