,accuracy_mean,accuracy_mean,accuracy_mean,accuracy_mean,accuracy_std,accuracy_std,accuracy_std,accuracy_std,brier_score_mean,brier_score_mean,brier_score_mean,brier_score_mean,brier_score_std,brier_score_std,brier_score_std,brier_score_std,time_mean,time_mean,time_mean,time_mean,num_rules_mean,num_rules_mean,num_rules_mean,num_rules_mean,num_preds_mean,num_preds_mean,num_preds_mean,num_preds_mean,time_std,time_std,time_std,time_std,num_rules_std,num_rules_std,num_rules_std,num_rules_std,num_preds_std,num_preds_std,num_preds_std,num_preds_std
,greedy,round_robin,best_rule,info_gain,greedy,round_robin,best_rule,info_gain,greedy,round_robin,best_rule,info_gain,greedy,round_robin,best_rule,info_gain,greedy,round_robin,best_rule,info_gain,greedy,round_robin,best_rule,info_gain,greedy,round_robin,best_rule,info_gain,best_rule,greedy,info_gain,round_robin,best_rule,greedy,info_gain,round_robin,best_rule,greedy,info_gain,round_robin
Dry Bean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0,16.990925192832947,8.152186886469524,45.38171226183574,11.607737215360006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Ecoli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.16026214758555093,0.036252864201863605,0.5053136110305786,0.16422924995422364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Nursery,0.31009516460905345,0.0,0.03370627572016461,0.2999356995884774,0.0845966884909351,0.0,0.10286032058936698,0.10184800601664805,0.8275232689575898,0.75,0.7584265116680443,0.8249834190791022,0.021149029144500828,0.0,0.025714905385285106,0.025461829506363422,0.1604595979054769,0.10550410747528076,0.4342104196548462,0.22297406196594238,0.9333333333333333,0.0,0.1,0.9,0.9333333333333333,0.0,0.1,0.9,,,,,,,,,,,,
Page Blocks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.49703130722045896,0.16903772354125976,5.124875370661417,0.4618944724400838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Wall Robot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.8105197668075561,1.3079585711161295,8.55896426041921,0.8616299549738566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Weight Lifting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0,29.744128608703612,28.611197336514792,46.877389732996626,35.8919887860616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Wine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.3164288759231567,0.2618260701497396,0.712475577990214,0.42189199924468995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Average (All Datasets),0.04429930922986478,0.0,0.004815182245737801,0.042847957084068196,0.01208524121299073,0.0,0.01469433151276671,0.014549715145235436,0.7610747527082271,0.75,0.7512037873811491,0.7607119170113004,0.0030212898777858327,0.0,0.0036735579121835865,0.0036374042151947747,6.95425078528268,5.520566222781227,15.370705890655518,7.090335105714344,0.13333333333333333,0.0,0.014285714285714287,0.1285714285714286,0.13333333333333333,0.0,0.014285714285714287,0.1285714285714286,2.132490432840691,1.5853693871060237,1.3482850807692657,0.4337996592463959,0.04358979666133781,0.03624401881463749,0.04358979666133781,0.0,0.04358979666133781,0.03624401881463749,0.04358979666133781,0.0
