Dataset,Metric,Fit Method,Avg Accuracy,Std Accuracy,Avg Brier Score,Std Brier Score,Avg Time,Num Rules Avg,Num Rules Std,Num Preds Avg,Num Preds Std
Wine,information_gain,FOLD-RM (fit),0.9362037037037036,0.045111718709201075,0.9443231203982407,0.031797886269168366,0.014374040762583414,7.203333333333333,0.7236951506856845,7.32,0.8040033611137918
Wine,information_gain,CON-FOLD (confidence_fit),0.9357407407407408,0.040466317864172346,0.9457754565185278,0.030197555786110063,0.01905477523803711,6.703333333333333,0.7190589043432207,6.79,0.8173904148575535
Wine,precision,FOLD-RM (fit),0.9346296296296296,0.041536296311229404,0.9432842419643703,0.030172054495836022,0.014282085895538331,7.246666666666667,0.7217283850323659,7.373333333333333,0.8223196382878956
Wine,precision,CON-FOLD (confidence_fit),0.9325925925925925,0.041438015839596894,0.9433741859029722,0.031649290749136264,0.015599971612294514,6.81,0.7180659643075906,6.943333333333333,0.846074284290302
Wine,F1,FOLD-RM (fit),0.9342592592592592,0.04249203171983001,0.9417164771018797,0.03195309873014304,0.01209860881169637,7.27,0.7202981545430525,7.373333333333333,0.7762931097183651
Wine,F1,CON-FOLD (confidence_fit),0.9283333333333333,0.041676884663126926,0.940039410972,0.031680799651649966,0.014799098968505859,6.85,0.8101570928222299,6.97,0.9409487846767302
Wine,Jaccard,FOLD-RM (fit),0.9342592592592592,0.04267383824798192,0.9431328637451296,0.030733924986060156,0.01346734921137492,7.233333333333333,0.7353170696135823,7.34,0.8082352053438346
Wine,Jaccard,CON-FOLD (confidence_fit),0.9369444444444445,0.0418020839222198,0.9468270840152778,0.029839096788628373,0.01862228234608968,6.836666666666667,0.7562375329504827,6.933333333333334,0.8313800966500874
Wine,Laplace,FOLD-RM (fit),0.9335185185185185,0.04150646356258875,0.9414416328138148,0.029675269832165074,0.01197396198908488,7.256666666666667,0.7064837482282171,7.373333333333333,0.7933390479731972
Wine,Laplace,CON-FOLD (confidence_fit),0.9334259259259259,0.04219125566821292,0.94487591762575,0.03157794073402801,0.013422239621480305,6.776666666666666,0.7130805249097567,6.913333333333333,0.8572856493047705
Wine,Gini_Impurity_Covered,FOLD-RM (fit),0.9354629629629629,0.042247489782733606,0.9434766974462963,0.029919620142479092,0.014290924866994221,7.183333333333334,0.6617011285320265,7.3,0.7292273824060889
Wine,Gini_Impurity_Covered,CON-FOLD (confidence_fit),0.9360185185185185,0.04284674334123534,0.9456009269899074,0.032247138642534076,0.018826566537221274,6.836666666666667,0.7246188403347762,6.9366666666666665,0.8009122446525191
Wine,Positive_Coverage_Gain,FOLD-RM (fit),0.9411111111111111,0.04100899265818326,0.9467629896697315,0.03084962564288504,0.01450411876042684,7.29,0.6638541565262085,7.43,0.7748772693844462
Wine,Positive_Coverage_Gain,CON-FOLD (confidence_fit),0.9276851851851852,0.044396709625111004,0.9405168786794722,0.03364853770885303,0.018676942984263104,6.72,0.7682669547184588,6.84,0.8852564203471706
Wine,YoudensJ,FOLD-RM (fit),0.9362037037037036,0.042701948972394536,0.9443350270471574,0.03173467513427084,0.012204342683156332,7.256666666666667,0.69213611152611,7.343333333333334,0.7751074295304273
Wine,YoudensJ,CON-FOLD (confidence_fit),0.9337962962962962,0.041980321573621776,0.943054871503824,0.03178346189555712,0.014159801801045736,6.756666666666667,0.7388789000814052,6.86,0.8580135727189283
Wine,Weighted_Harmonic_Mean,FOLD-RM (fit),0.9368518518518518,0.04150646356258875,0.9426080019980555,0.03164226359193129,0.01447705586751302,7.256666666666667,0.69213611152611,7.413333333333333,0.7860545962696299
Wine,Weighted_Harmonic_Mean,CON-FOLD (confidence_fit),0.9289814814814815,0.0460021935482442,0.9401320954252592,0.03455030279852439,0.016467538674672443,6.703333333333333,0.8190798872890404,6.776666666666666,0.9217488588283652
Wine,Binomial_Parameter,FOLD-RM (fit),0.9372222222222222,0.04363225752270354,0.9440073142827685,0.03136806986316952,0.014228262106577556,7.233333333333333,0.7122123116119197,7.3533333333333335,0.8148838410905306
Wine,Binomial_Parameter,CON-FOLD (confidence_fit),0.9294444444444444,0.04488011106600375,0.9408076452956666,0.034266668719811086,0.01990405480066935,6.763333333333334,0.7410484001242054,6.89,0.8681853600458794
Wine,RPG,FOLD-RM (fit),0.9363888888888888,0.04163630753271616,0.9439129949203426,0.031097799346350617,0.011972613334655761,7.233333333333333,0.6931742378138305,7.376666666666667,0.7725141742303795
Wine,RPG,CON-FOLD (confidence_fit),0.9347222222222222,0.04064776757861454,0.9446584954322222,0.0304543414557642,0.014314845403035481,6.803333333333334,0.757121521874245,6.95,0.8926492830193258
Ecoli,information_gain,FOLD-RM (fit),0.7914215686274509,0.04525004711889553,0.8551514433308726,0.032725336026100026,0.03975222269694011,38.70666666666666,5.201680544835868,46.85333333333333,7.503298419994182
