,,Average,Average,Average,Average,Average,Average,Average,Dry Bean,Dry Bean,Dry Bean,Dry Bean,Dry Bean,Dry Bean,Dry Bean,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Nursery,Nursery,Nursery,Nursery,Nursery,Nursery,Nursery,Page Blocks,Page Blocks,Page Blocks,Page Blocks,Page Blocks,Page Blocks,Page Blocks,Wall Robot,Wall Robot,Wall Robot,Wall Robot,Wall Robot,Wall Robot,Wall Robot,Weight Lifting,Weight Lifting,Weight Lifting,Weight Lifting,Weight Lifting,Weight Lifting,Weight Lifting,Wine,Wine,Wine,Wine,Wine,Wine,Wine
Metric,Fit Method,Avg Accuracy,Std Accuracy,Avg Time,Num Rules Avg,Num Rules Std,Num Preds Avg,Num Preds Std,Avg Accuracy,Avg Time,Num Preds Avg,Num Preds Std,Num Rules Avg,Num Rules Std,Std Accuracy,Avg Accuracy,Avg Time,Num Preds Avg,Num Preds Std,Num Rules Avg,Num Rules Std,Std Accuracy,Avg Accuracy,Avg Time,Num Preds Avg,Num Preds Std,Num Rules Avg,Num Rules Std,Std Accuracy,Avg Accuracy,Avg Time,Num Preds Avg,Num Preds Std,Num Rules Avg,Num Rules Std,Std Accuracy,Avg Accuracy,Avg Time,Num Preds Avg,Num Preds Std,Num Rules Avg,Num Rules Std,Std Accuracy,Avg Accuracy,Avg Time,Num Preds Avg,Num Preds Std,Num Rules Avg,Num Rules Std,Std Accuracy,Avg Accuracy,Avg Time,Num Preds Avg,Num Preds Std,Num Rules Avg,Num Rules Std,Std Accuracy
Laplace,FOLD-RM (fit),0.943360369,0.014780915,5.120476621,50.38095238,5.364218166,69.33333333,8.739683212,0.909291223,26.03186536,252.3333333,15.14375559,140.6666667,5.033222957,0.004940736,0.838235294,0.098184506,46.66666667,10.40833,40.66666667,6.806859286,0.050942671,0.962062757,1.604424795,26.66666667,3.055050463,64.66666667,8.504900548,0.010187913,0.968340944,1.312435627,96.33333333,23.86070689,55.33333333,12.58305739,0.002298275,0.992063492,3.744653145,39.66666667,6.027713773,29.33333333,2.516611478,0.002304589,0.998343685,3.009203434,16.33333333,1.154700538,14.66666667,0.577350269,0.000717205,0.935185185,0.042569478,7.333333333,1.527525232,7.333333333,1.527525232,0.032075015
Positive_Coverage_Gain,CON-FOLD (confidence_fit),0.921446077,0.014378608,9.402459292,25.57142857,4.41556959,29.9047619,5.734652877,0.899130861,50.4711616,81.33333333,19.13983629,51.66666667,9.073771726,0.00827993,0.75,0.109787623,45.66666667,1.527525232,35.66666667,1.527525232,0.014705882,0.936856996,4.704631488,19,3.464101615,36.66666667,7.767453465,0.009943929,0.946118721,2.55666248,20,12.12435565,16.33333333,8.96288644,0.017613974,0.974664225,4.907433192,23,1.732050808,19,2,0.009218357,0.989648033,3.015656153,13.33333333,1.154700538,12.66666667,0.577350269,0.008813166,0.953703704,0.051882505,7,1,7,1,0.032075015
Positive_Coverage_Gain,FOLD-RM (fit),0.937908851,0.013194822,5.332936264,54.33333333,6.674091037,78.85714286,12.13502069,0.904884319,26.45982885,286.6666667,51.62686639,157,25.35744467,0.007035345,0.799019608,0.086808205,51,5.567764363,42.33333333,1.527525232,0.022463606,0.957433128,1.608270089,25,1,65,6.557438524,0.004761705,0.966818874,2.264793237,122.6666667,22.50185178,64.33333333,10.0166528,0.003457478,0.993589744,4.00601244,43.66666667,2.516611478,30.66666667,1.527525232,0.005098685,0.999171843,2.874561946,16.33333333,0.577350269,14.33333333,0.577350269,0.001434411,0.944444444,0.03027908,6.666666667,1.154700538,6.666666667,1.154700538,0.048112522
RPG,CON-FOLD (confidence_fit),0.928165557,0.020924421,7.818102541,25.19047619,5.456196397,30.04761905,7.837550993,0.88688946,36.9106311,74.33333333,38.79862541,43,23.38803113,0.019854857,0.779411765,0.09640487,39.33333333,6.658328118,32.66666667,4.618802154,0.067390819,0.953317901,5.899924676,24,1.732050808,40,5,0.005761259,0.955555556,3.944532315,27.66666667,2.886751346,21.33333333,1.527525232,0.009147628,0.978632479,4.922546387,24.66666667,3.055050463,19.66666667,2.081665999,0.00865534,0.989648033,2.9069887,12.66666667,1.154700538,12,1,0.003586027,0.953703704,0.045689742,7.666666667,0.577350269,7.666666667,0.577350269,0.032075015
RPG,FOLD-RM (fit),0.933560216,0.01787307,5.462323064,54.52380952,7.331302119,76.80952381,10.61434927,0.909903293,27.79848123,299,39.23009049,166.6666667,25.6580072,0.002243886,0.754901961,0.098719438,50,5,39,3,0.080993685,0.962962963,1.780321757,26,1,67.33333333,6.506407099,0.007228007,0.97108067,1.541167657,96.33333333,26.38812864,55,13,0.003207201,0.993284493,4.118468285,43.33333333,1.527525232,32,2,0.002943727,0.998343685,2.865641991,15.66666667,0.577350269,14.33333333,0.577350269,0.000717205,0.944444444,0.033461094,7.333333333,0.577350269,7.333333333,0.577350269,0.027777778
Weighted_Harmonic_Mean,CON-FOLD (confidence_fit),0.921640004,0.009639607,7.499547061,26,6.727236811,30.71428571,9.476045724,0.899253275,36.73502262,80.66666667,45.82939377,51.33333333,28.67635495,0.008165115,0.779411765,0.109120448,43.33333333,6.110100927,36,5.291502622,0.014705882,0.943930041,4.575450659,22,1,38.66666667,4.725815626,0.006528313,0.951902588,2.910723289,28,7.810249676,20.33333333,4.932882862,0.012990313,0.963064713,4.666963418,20.33333333,3.055050463,16.66666667,2.309401077,0.002797665,0.987991718,3.467225472,13.66666667,1.527525232,12.33333333,0.577350269,0.006252451,0.925925926,0.032323519,7,1,6.666666667,0.577350269,0.016037507
Weighted_Harmonic_Mean,FOLD-RM (fit),0.939403297,0.011421015,5.181267296,52.0952381,7.233066698,75.66666667,13.30688806,0.916513649,26.34939456,292.3333333,34.29771615,157.6666667,16.44181661,0.005275177,0.823529412,0.069601138,42,13,35,7.211102551,0.050942671,0.948945473,1.406007528,23,0,56.33333333,3.785938897,0.004521192,0.967427702,1.454413891,107,40.5092582,63.66666667,18.61003314,0.001054521,0.993894994,4.065005541,41.66666667,2.081665999,30.33333333,1.527525232,0.001398833,0.999585921,2.891140779,16,1.732050808,14.33333333,1.527525232,0.000717205,0.925925926,0.033307632,7.666666667,1.527525232,7.333333333,1.527525232,0.016037507
YoudensJ,CON-FOLD (confidence_fit),0.921706187,0.014025054,8.139394556,24.19047619,6.463071394,28.57142857,9.813093271,0.881625658,39.581791,71,52.20153254,44.66666667,30.0721355,0.018326566,0.759803922,0.110796452,38,8.185352772,33.66666667,4.509249753,0.01698089,0.926440329,5.320232868,19,2,32.33333333,6.027713773,0.009585723,0.957990868,4.143708626,28,2.645751311,20.66666667,1.527525232,0.006392694,0.981074481,4.694532156,23.66666667,2.081665999,19,1,0.003216012,0.991304348,3.082797845,13,1,11.66666667,1.527525232,0.001242236,0.953703704,0.041902939,7.333333333,0.577350269,7.333333333,0.577350269,0.042431256
YoudensJ,FOLD-RM (fit),0.939207729,0.011639458,5.596718993,56.42857143,4.578748592,78.95238095,8.51392227,0.913942955,28.66664521,296.6666667,19.13983629,162.3333333,8.082903769,0.002579423,0.779411765,0.082204024,52.66666667,3.785938897,41.66666667,5.507570547,0.025471335,0.970164609,1.793718259,28.66666667,2.309401077,76.33333333,2.309401077,0.012250874,0.96499239,1.734358788,108.6666667,26.53927907,63,11.53256259,0.007324937,0.993894994,3.813912074,41,4.358898944,29.33333333,4.041451884,0.001057418,0.998343685,3.051047087,16.66666667,2.886751346,14.33333333,0.577350269,0.000717205,0.953703704,0.035147508,8.333333333,0.577350269,8,0,0.032075015
information_gain,CON-FOLD (confidence_fit),0.921964769,0.023280476,6.027078504,22.9047619,4.751656134,27.04761905,5.279712276,0.893132574,26.80876843,69.66666667,11.93035345,38,8.717797887,0.01887281,0.779411765,0.099239588,31.33333333,4.618802154,27,4,0.053022813,0.943029835,3.547346195,19.33333333,3.055050463,38.33333333,8.96288644,0.011453418,0.949467275,3.975746155,27.33333333,15.0443788,19,9.848857802,0.010100858,0.973137973,4.549547354,21.33333333,0.577350269,18.33333333,0.577350269,0.009791828,0.989648033,3.170380354,12.66666667,1.154700538,12.33333333,0.577350269,0.001897547,0.925925926,0.038521449,7.666666667,0.577350269,7.333333333,0.577350269,0.057824056
information_gain,FOLD-RM (fit),0.933745971,0.005728454,4.359638532,54.14285714,5.86564139,77.42857143,8.149319415,0.911984331,19.37987653,297.6666667,3.785938897,158.6666667,3.055050463,0.005810476,0.784313725,0.106637319,44.66666667,7.767453465,38.33333333,7.505553499,0.01698089,0.968364198,1.820341587,28.33333333,1.527525232,71,7,0.009782965,0.966818874,2.293679476,107.6666667,39.71565602,60.66666667,20.81665999,0.004315813,0.989316239,3.904147069,41.66666667,2.516611478,29.66666667,1.527525232,0.001057418,0.998757764,2.982868433,15.66666667,1.154700538,14.33333333,0.577350269,0.002151616,0.916666667,0.029919306,6.333333333,0.577350269,6.333333333,0.577350269,0
precision,CON-FOLD (confidence_fit),0.925473632,0.012321089,6.185662758,23.38095238,5.82134131,27.71428571,9.080717902,0.898151549,25.75787385,62.33333333,37.00450423,38,19.97498436,0.003892303,0.789215686,0.126607974,38.66666667,11.01514109,30.66666667,7.767453465,0.022463606,0.934799383,3.457479318,20.33333333,4.509249753,35.33333333,5.033222957,0.008513918,0.95281583,6.029155413,28.66666667,6.658328118,21,5.291502622,0.006606555,0.974358974,4.762374401,24,2.645751311,19.33333333,1.527525232,0.008392996,0.99378882,3.134926399,13.33333333,1.154700538,12.66666667,0.577350269,0.004303232,0.935185185,0.031221946,6.666666667,0.577350269,6.666666667,0.577350269,0.032075015
precision,FOLD-RM (fit),0.931734879,0.018731499,4.088505597,52.23809524,9.084114822,75.66666667,16.64076966,0.910025707,18.6281515,277.6666667,41.88476254,148.3333333,21.19748413,0.003541554,0.789215686,0.120893717,51.33333333,8.020806277,41,5.567764363,0.01698089,0.956532922,1.477605581,26.66666667,0.577350269,63.33333333,2.516611478,0.003666815,0.9695586,1.766082843,107.6666667,59.53430384,60,30.2654919,0.007604259,0.99023199,3.707690159,42.66666667,3.785938897,31,1.732050808,0.001057418,0.999171843,2.88352259,16.33333333,1.527525232,14.66666667,1.154700538,0.000717205,0.907407407,0.035592794,7.333333333,1.154700538,7.333333333,1.154700538,0.09755235
